En el principio , Dios creó los cielos y la tierra .	Only Paraguayan Guarani (gug) copied here.
Luego entraron en la casa , y vieron al niño con María , su madre ; y arrodillándose le rindieron homenaje . Abrieron sus cofres y le ofrecieron oro , incienso y mirra .	Ha oikévo pe óga ryepýpe , ohecha hikuái pe mitãme , isy María ndive . Oñesũ ha omomba'e guasu chupe hikuái . Upéi oguenohẽ ikarameguãgui ha ome'ẽ chupe óro , insiénso ha mírra ryakuã porã .
Entonces , advertidos en sueños de que no volvieran a Herodes , regresaron a su tierra por otro camino .	Ha Tupã omomarandu rire chupe kuéra iképe ani haguã oho Herodes rendápe , oje'ói hikuái hetãme ambue tape rupi .
Después de haberse marchado ellos , un ángel del Señor se apareció a José en sueños , diciendo : " Levántate , toma al Niño y a Su madre y huye a Egipto , y quédate allí hasta que yo te diga ; porque Herodes ( el Grande ) quiere buscar y matar al Niño . "	Oho rire umi karai arandu , peteĩ Ñandejára remimbou ojehechauka Josépe iképe , ha he'i chupe : — Epáy ha epu'ã . Eraha ne ndive pe mitã ha isy , ha pya'e tereho Egíptope . Epyta upépe che romomarandu peve . Herodes ohekaukáta hína pe mitã ojuka haguã .
Y él , levantándose , tomó de noche al Niño y a su madre , y se trasladó a Egipto ;	Upévo José opáy . Pe pyharépe voi ogueraha pe mitã ha isy Egíptope .
donde permaneció hasta la muerte de Herodes . Así se cumplió lo que el Señor había dicho por medio del profeta : De Egipto llamé a mi hijo .	Ha opyta hikuái upépe Herodes omano meve . Péicha ojehu oiko haguã hekoitépe upe Ñandejára he'i vaekue maranduhára rupi : “ Egíptogui ahenói vaekue che Ra'ýpe . ”
Cuando Herodes se dio cuenta de que los sabios se habían burlado de él , se enfureció y mandó matar a todos los niños menores de dos años en Belén y en sus alrededores , de acuerdo con el tiempo que había averiguado de los sabios .	Herodes ohecha kuaávo umi karai arandu ombotavy hague chupe , ipochy eterei . Upévare , ojukaukapaite mitã kuimba'e omboty'ỹva guive mokõi áño , oikóva Belénpe ha ijerekuévo . Umi mitã ojejuka karai arandu kuéra omombe'u haguére chupe mba'e árapepa ohecha ra'e hikuái pe mbyja .
Así se cumplió lo dicho por medio del profeta Jeremías :	Ha péicha oiko , ojehu haguã hekoitépe maranduhára Jeremías omoĩ vaekue kuatiápe :
« En Ramá se oyó una voz , llanto y gran lamento . Raquel llora por sus hijos , se niega a que la consuelen , porque están muertos » .	Oñehendu Ramámetasẽ ha jahe'o soro . Raquel ojahe'o hínaimemby kuérare , ha omanomba haguére hikuáindohejái avavépeomyangapyhy chupe .
Cuando Herodes hubo fallecido , ¡ mire ! , el ángel de Jehová se apareció en un sueño a José en Egipto ,	Herodes omano riréma , peteĩ Ñandejára remimbou ojechauka Josépe iképe , Egíptope . Ha he'i chupe :
" Levántate , toma al Niño y a Su madre y vete a la tierra de Israel , porque los que atentaban contra la vida del Niño han muerto . "	— Epáy ha epu'ã . Eraha pe mitã ha isy , ha tereho jey Israélpe . Omanombáma umi ojukase vaekue pe mitãme .
Y él , levantándose , tomó al Niño y a su madre , y vino a la tierra de Israel .	Upévo José opu'ã , ha ogueraha pe mitã ha isy , Israélpe .
Cuando supo que Arquelao reinaba en Judea en lugar de su padre Herodes , tuvo temor de ir allá , pero en sueños fue advertido y se dirigió a la región de Galilea .	José oikuaávo Arquelao oĩha mburuvicha guasúrõ itúva Herodes rendaguépe , okyhyje oho haguã upépe . Ha Tupã omomarandu chupe iképe oho haguã yvy Galiléape .
y se estableció en un pueblo llamado Nazaret . De esta manera se cumplió lo dicho por medio de los profetas : que Jesús sería llamado nazareno .	Oguahẽvo upépe , oho oiko peteĩ táva hérava Nazarétpe . Ha péicha ou ojehu umi maranduhára he'i vaekue , Jesús oñemboherataha Nasaréno .
En aquellos días Juan el Bautista se presentó predicando en el desierto de Judea ,	Umíva umi árape Juan Bautista oñemoñe'ẽ yvy ojeiko'ỹháme , Judéape .
Arrepentíos , porque el reino de los cielos se ha acercado .	Ha he'i : — Pembyasy pene angaipa ha peheja . Hi'aguĩma hína Tupã sãmbyhy yvágagui oúva .
A este Juan se había referido el profeta Isaías cuando dijo : Se oye una voz ; alguien clama en el desierto : « ¡ Preparen el camino del Señor ; abran sendas rectas para él ! » .	Ko Juan rehe niko maranduhára Isaías oñe'ẽ vaekue , omoĩ ramo guare kuatiáre kóicha : “ Peteĩ osapukáivayvy ojeiko'ỹháme : ‘ Pembosako'i Ñandejárape haperã , pejapo chupe tape ikarẽ'ỹva . ’ ”
Y él , Juan , tenía un vestido de pelo de camello y un cinto de cuero a la cintura ; y su comida era de langostas ( saltamontes ) y miel silvestre .	Juan ao ojejapo kaméllo raguekuégui ha iku'a jokuaha vakapígui . Ha hembi'u vaekue tuku ha eíra ka'aguy .
La gente de Jerusalén y todos los de la región de Judea y de la región cercana al Jordán salían a oírle .	Opavave Jerusalén ha Judeagua osẽ hendápe ohendu haguã iñe'ẽ , ha péicha avei umi Jordán rembe'y rupi oikóva .
y confesando sus pecados , eran bautizados por Juan en el río Jordán .	Oñemombe'u hembiapo vaikuégui ha Juan omongarai chupe kuéra ysyry Jordánpe .
Pero al ver que muchos fariseos y saduceos llegaban adonde él estaba bautizando , les advirtió : « ¡ Camada de víboras ! ¿ Quién les dijo que podrán escapar del castigo que se acerca ?	Juan ohechávo umi fariséo ha Saduséo kuérava hetaha oúva oñemongarai haguã , he'i chupe kuéra : — Peẽ mbói ñemoñare! Máva piko he'i peẽme ikatúne haguã pekañy upe ñenupã Tupã omboútavagui?
Pues , produzcan fruto propio del arrepentimiento ;	Peikóke ojehecha porã haguã pende rehe pejevyha Ñandejára gotyo .
y no piensen que pueden decirse a sí mismos : ' Tenemos a Abraham por padre , ' porque les digo que Dios puede levantar hijos a Abraham de estas piedras .	Ani peimo'ã peje haguére “ Ore niko Abraham ñemoñare ” ndojehu mo'ãiha peẽme mba'eve . Cháke ha'e peẽme , Tupã ikatuha ko'ã itágui jepe ojapo Abrahámpe iñemoñarerã .
El hacha ya está puesta a la raíz de los árboles ; por tanto , todo árbol que no da buen fruto es cortado y echado al fuego .	Cháke , hácha ojeitýtama yvyra rapóre . Opa yvyra hi'a porã'ỹva guive , ojeitýta ha oñemombóta tatápe .
Yo , en verdad , los bautizo a ustedes con agua para arrepentimiento , pero Aquél que viene detrás de mí es más poderoso que yo , a quien no soy digno de quitar las sandalias ; El los bautizará con el Espíritu Santo y con fuego .	Che niko añetehápe ýpe pomongarai , pembyasy haguére pene rembiapo vaikue . Upe oútava che rire katu pene mongaraíta Espíritu Santo ha tatápe . Ha'e ipokatuve che hegui , ha chéve ndaijái ipy reheguánte jepe arahávo chupe .
El bieldo está en Su mano y limpiará completamente Su era ; y recogerá Su trigo en el granero , pero quemará la paja en un fuego que no se apaga . "	Pála ipópe ombovevéta pe ikoga'a ra'ỹi hakãngue reígui . Ha oñongatúta pe ha'ỹingue ha ohapýta pe hakãngue rei , peteĩ tata araka'eve ogue'ỹtavape .
Luego Jesús fue de Galilea al río Jordán para que Juan lo bautizara ,	Jesús osẽ Galiléagui ha oho Juan rendápe , ysyry Jordánpe , ha'e omongarai haguã chupe .
Pero este trató de impedírselo , diciendo : “ Yo soy el que necesito ser bautizado por ti , ¿ y vienes tú a mí ? ” .	Ha Juan nomongaraiséigui Jesúspe he'i chupe : — Nde uvei niko chéve che mongarai vaerã . Ha piko nde reju che rendápe?
Jesús le contestó : — Déjalo así por ahora , pues es conveniente que cumplamos todo lo que es justo ante Dios . Entonces Juan consintió .	Jesús katu he'i chupe : — Marãve ndoikói . Iporã niko jajapopa hekoitépe Tupã oipotáva . Ha Juan ojapo Jesús he'i haguéicha chupe .
Tan pronto como Jesús fue bautizado , subió del agua . En ese momento se abrió el cielo , y él vio al Espíritu de Dios bajar como una paloma y posarse sobre él .	Jesús oñemongarai rire ha osẽvo upe ýgui , yvága ojepe'a ha Jesús ohecha Tupã Espíritu , oguejýva hi'ári pykasúicha .
Y una voz , proveniente del cielo , decía : — Este es mi Hijo amado en quien me complazco .	Upévo oñehendu peteĩ oñe'ẽva yvágagui , ha he'íva : — Kóva hína che ra'y ahayhúva , che aiporavo vaekue .
Luego el Espíritu llevó a Jesús al desierto para que allí lo tentara el diablo .	Upe rire Espíritu ogueraha Jesúspe yvy ojeiko'ỹháme , upépe Aña oipy'a ra'ã haguã chupe .
Después de haber ayunado cuarenta días y cuarenta noches , tuvo hambre .	Ohasa 40 ára ha pyhare pukukue ho'u'ỹre mba'eve , upe rire iñembyahýi .
Entonces se le acercó el diablo y le dijo : — Si de veras eres Hijo de Dios , di que estas piedras se conviertan en pan .	Upépe Aña oñemboja Jesús rendápe oipy'a ra'ã haguã chupe , ha he'i : — Nde ramo añete Tupã ra'y , ere ko'ã itágui toiko mbujape .
Pero Jesús le contestó : — La Escritura dice : “ No sólo de pan vivirá el hombre , sino también de toda palabra que salga de los labios de Dios . ”	Ha Jesús katu ombohovái chupe ha he'i : — Ñandejára Ñe'ẽme he'i : “ Ndaha'éi tembi'u añónte oikotevẽva yvypóra oikove haguã , opa ñe'ẽ Tupã jurúgui osẽva rehe avei oikotevẽ . ”
El diablo lo llevó luego a la ciudad santa , lo subió al alero del Templo	Upéi katu Aña ogueraha chupe táva marangatu Jerusalénpe , ha ohupi chupe pe Tupao ijyvatevehápe ,
y le dijo : — Si de veras eres Hijo de Dios , tírate abajo , porque dicen las Escrituras : Dios ordenará a sus ángeles que cuiden de ti y te tomen en sus manos para que tu pie no tropiece con ninguna piedra .	ha he'i chupe : — Nde ramo añete Tupã ra'y , ejepoi oakãvo . Ñandejára Ñe'ẽme niko he'i : “ Tupã he'íta hemimbou kuérapeoñangareko haguã nde rehe . Ipópe ha'e kuéra nde rupíta , ani haguã reñepysãngánte jepe . ”
Jesús le contestó : — También dice la Escritura : “ No pongas a prueba al Señor tu Dios . ”	Jesús katu he'i chupe : — Ñandejára Ñe'ẽme niko he'i avei : “ Ani reipy'a ra'ã Tupã nde Járape . ”
De nuevo el diablo lo llevó a un monte muy alto y , mostrándole todas las naciones del mundo y su esplendor ,	Ipahápe , Aña ogueraha chupe peteĩ yvyty ijyvatéva ru'ãme . Ha upégui ohechaukapa chupe umi tetã yvy arigua , ha umi mba'eta ipype oĩva .
y le dijo : Todo esto te daré , si postrándote me adoras .	Ha he'i chupe : — Ame'ẽmbáta ndéve ko'ã mba'e , reñesũ ramo che renondépe ha che momba'e guasu .
Entonces Jesús le dijo : “ ¡ Vete , Satanás ! Porque está escrito : ‘ Es a Jehová tu Dios a quien tienes que adorar , y es solo a él a quien tienes que rendir servicio sagrado ’ ” .	Jesús katu he'i chupe : — Tereho ko'águi Sataná . Ñandejára ñe'ẽme niko he'i : “ Tupã nde Jára renondépe reñesũ vaerã , ha chupe añónte remomba'e guasu vaerã . ”
Entonces el diablo se apartó de Jesús , y unos ángeles acudieron a servirle .	Upépe Aña oheja chupe . Ha oguahẽ Jesús rendápe Tupã remimbou kuéra oúva oipytyvõ haguã chupe .
Cuando Jesús oyó que Juan había sido encarcelado , regresó a Galilea .	Jesús ohendúvo Juan oñemyakãsã hague , oho jey yvy Galiléape .
Saliendo de Nazaret , fue a vivir en Capernaúm , que está junto al mar , en la región de Zabulón y de Neftalí ;	Osẽ táva Nazarétgui ha oho opyta Cafarnaúmpe , peteĩ táva oĩva yguasu rembe'ýpe , Zabulón ha Neftalí ñemoñare kuéra ypýpe .
en cumplimiento de lo dicho por medio del profeta Isaías :	Upéva ojehu oiko haguã hekoitépe umi mba'e maranduhára Isaías omoĩ vaekue kuatiáre he'i ramo :
« Tierra de Zabulón y tierra de Neftalí , Camino del mar , al otro lado del Jordán , Galilea de los gentiles ;	Zabulón ha Neftalíñemoñare kuéra yvyopytáva yguasu gotyoysyry Jordán mboypýri! Nde , yvy Galiléa , ambue tetãgua oikohápe!
El pueblo asentado en tinieblas vio una gran Luz , y a los que vivianen region y sombra de muerte , una Luz les resplandecio . "	Umi yvypóra nde pypegua , oiko vaekue pytũmbýpe , ohecha tesape tuicháva . Tesapeha peteĩ ohesapévaumi omanóma vaekuéichaoikóvape .
Desde entonces Jesús comenzó a predicar : " Arrepiéntanse , porque el reino de los cielos se ha acercado . "	Upe guive Jesús oñepyrũ oñemoñe'ẽ ha he'i : — Pejevy Tupã gotyo . Hi'aguĩma hína ñesãmbyhy yvágagui oúva .
Andando Jesús junto al mar de Galilea , vio a dos hermanos , Simón , llamado Pedro , y Andrés su hermano , echando una red al mar , porque eran pescadores .	Jesús oguata jave oikóvo yguasu Galiléa rembe'y rupi , ohecha mokõi ojoryvýpe , Simón hérava avei Pedro ha Andréspe . Ha'e kuéra niko pira renohẽha , ha oity hína hikuái pyaha ýpe .
Jesús les dijo : « Síganme , y yo haré de ustedes pescadores de hombres . »	Jesús he'i chupe kuéra : — Peju che moirũ , ha che pombo'éta penohẽ haguã pende rapichápe jejopy vaígui .
Y enseguida dejaron las redes y lo siguieron .	Upepete voi oheja hikuái umi pyaha , ha oho hendive .
Un poco más adelante , Jesús vio a otros dos hermanos , Jacobo y Juan , hijos de Zebedeo , quienes estaban en la barca , junto a su padre , y remendaban sus redes . Jesús los llamó ,	Ha Jesús ohovévo upégui , ohecha jey mokõi ojoryvývape , Santiago ha Juan , Zebedeo ra'y kuérape . Ha'e kuéra oĩ hína itúva ndive ha omyatyrõ umi irréd kuéra kanóape . Jesús ohenói chupe kuéra ,
Ellos , dejando en seguida la barca y a su padre , le siguieron .	ha upepete voi oguejy hikuái ikanóagui , oheja itúvape , ha omoirũ Jesúspe .
Jesús recorría toda Galilea enseñando en las sinagogas judías . Anunciaba la buena noticia del Reino y curaba toda clase de enfermedades y dolencias de la gente .	Jesús oiko yvy Galiléa rupi , ha oporombo'e umi judío kuéra tupao rupi . Ha'e omoherakuã marandu porã oñe'ẽva Tupã sãmbyhýre . Hetápe avei omonguera opaichagua mba'asy ha mba'e vaígui .
Y el informe acerca de él salió a toda Siria ; y le trajeron todos los que se hallaban mal , los angustiados por diversas dolencias y tormentos , los endemoniados y epilépticos y paralíticos ; y él los curó .	Jesús herakuã opa rupi yvy Siria tuichakue . Ha ojegueru chupe opaichagua hasýva ha hete rasýva , umi mba'epochy poguýpe oikóva , itarováva ha umi ijapapágui oguata'ỹva . Ha Jesús omonguera chupe kuéra .
Por consiguiente , grandes muchedumbres le siguieron de Galilea y de Decápolis y de Jerusalén y de Judea y del otro lado del Jordán .	Heta oĩ ohóva Jesús rapykuéri Galiléagui , Decápolis , Jerusalén , Judea ha Jordán mboypýrigui .
Cuando Jesús vio a la multitud , subió al monte y se sentó . Entonces sus discípulos se le acercaron ,	Ohechávo Jesús hetaha umi ijatýva , ojupi peteĩ yvytymíme ha upépe oguapy . Hemimbo'e kuéra oñembyaty ijerekuévo ,
y él se puso a enseñarles , diciendo :	ha Jesús oñepyrũ ombo'e chupe kuéra he'ívo :
" Bienaventurados ( Felices ) los pobres en espíritu , pues de ellos es el reino de los cielos .	“ Ovy'a vaerã umi ohecha kuaáva imboriahuha ipy'apýpe , chupe kuéra guarã hína ñesãmbyhy yvágagui oúva .
Felices los que están tristes , porque Dios mismo los consolará .	Ovy'a vaerã umi ohasa asýva , Tupã voi omyangapyhýta chupe kuéra .
Bienaventurados los humildes , pues ellos heredarán la tierra .	Ovy'a vaerã umi ojejapo'ỹva , Tupã ome'ẽta chupe kuéra yvy imba'e teerã .
Dichosos los que tienen hambre y sed de justicia , porque serán saciados .	Ovy'a vaerã umi Tupã rembipotánte oipotáva ojehu , ha'e ome'ẽta chupe kuéra opa oikotevẽva .
» Bienaventurados los misericordiosos , porque ellos serán tratados con misericordia .	Ovy'a vaerã umi oiporiahurerekóva hapichápe , Tupã oiporiahurerekóta chupe kuéra .
Bienaventurados los de limpio corazón , pues ellos verán a Dios .	Ovy'a vaerã umi ipy'a potĩva , ha'e kuéra ohecháta Tupãme .
Dichosos los que trabajan por la paz , porque serán llamados hijos de Dios .	Ovy'a vaerã umi oporomoingo porãva , Tupã oguerekóta chupe kuéra ita'ýra ha itajýra ramo .
" Bienaventurados aquéllos que han sido perseguidos por causa de la justicia , pues de ellos es el reino de los cielos .	Ovy'a vaerã umi ohasa asýva Tupã rembipota ojapógui , chupe kuéra guarã hína ñesãmbyhy yvágagui oúva .
" Bienaventurados serán cuando los insulten y persigan , y digan todo género de mal contra ustedes falsamente , por causa de Mí .	Pevy'a vaerã pejeja'o ha pehasa asy ramo , ha oje'e ramo pende rehe opa mba'e vai , che ndive peikógui .
Alégrense y llénense de júbilo , porque les espera una gran recompensa en el cielo . Así también persiguieron a los profetas que los precedieron a ustedes .	Pevy'a ha pende py'a rorýke , tuicha jopói oñeme'ẽtagui peẽme yvágape . Peẽicha avei , maranduhára kuéra ohasa asy vaekue peẽ mboyve . ”
» Ustedes son la sal de la tierra , pero si la sal pierde su sabor , ¿ cómo volverá a ser salada ? Ya no servirá para nada , sino para ser arrojada a la calle y pisoteada por la gente .	Peẽ niko jukýicha hína ko yvy ári . Juky nahe'ẽvéi ramo niko ndaikatu véima oñemohe'ẽ jey , naiporã véima mba'everã . Upévare , okápe oñemombo ha oñepyrũmba hese .
" Ustedes son la luz del mundo . Una ciudad situada sobre un monte no se puede ocultar ;	Peẽ niko mba'e rendýicha hína ko yvy ári . Peteĩ táva oĩva yvyty ru'ãme niko ndaikatúi ndojehecháivo .
Tampoco se enciende una lámpara de aceite y se tapa con una vasija . Al contrario , se pone en el candelero , de manera que alumbre a todos los que están en la casa .	Avave niko nomyendýi mba'e rendy ha upéi omoĩ mbayru guýpe térã tupa guýpe . Yvate katu oñemoĩ , ohesape haguã óga ryepýpe oĩvape .
Así mismo resplandezca la luz de ustedes delante de los hombres , para que ellos vean sus obras excelentes y den gloria al Padre de ustedes que está en los cielos .	Péicha aveíke , peñeha'ã peẽ pehesape opavave renondépe . Ha ha'e kuéra ohechávo pene rembiapo porãngue , omomba'e guasúta pende Ru , yvágape oĩvape .
” No piensen que vine a destruir la Ley o los Profetas . No vine a destruir , sino a cumplir ;	Ani peimo'ã che aju hague amboyke haguã Moisés rembiapoukapy térã umi mba'e maranduhára kuéra oporombo'e vaekue . Che ndajúi amboykévo umíva , aju umíva ojehupa haguã hekoitépe .
Les digo la verdad , hasta que desaparezcan el cielo y la tierra , no desaparecerá ni el más mínimo detalle de la ley de Dios hasta que su propósito se cumpla .	Añete ha'e peẽme , yvága ha yvy oĩ aja , mba'evete asy ndojepe'a mo'ãi Moisés rembiapoukapýgui , ojehupa peve umi mba'e ipype oĩva .
Entonces , si no hacen caso al más insignificante mandamiento y les enseñan a los demás a hacer lo mismo , serán llamados los más insignificantes en el reino del cielo ; pero el que obedece las leyes de Dios y las enseña será llamado grande en el reino del cielo .	Upévare , upe omboykéva Tupã rembiapoukapy ha ojapo'ỹva pe michĩvéva jepe , ha oporombo'éva péicha ojejapo haguã , upévata pe michĩvéva Tupã oporosãmbyhyhápe yvágape . Upe Tupã rembiapoukapy ojapo ha oporombo'éva katu , tuicháta Tupã oporosãmbyhývo yvágape .
Porque les digo a ustedes que si su justicia no abunda más que la de los escribas y fariseos , de ningún modo entrarán en el reino de los cielos .	Che ha'e peẽme ikatutaha peguahẽ yvágape Tupã oporosãmbyhyhápe , peẽ peñeha'ãve ramo pejapo Tupã rembipota , umi Moisés rembiapoukapýre oporombo'évagui ha fariséo kuéragui .
